Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1vlcWaJV9hGbiQMbsh2d8t,"Watch That Man - 2013 Remaster","Aladdin Sane (2013 Remaster)","David Bowie",1973-04-13,270344,44,false,meikeenlotte,2026-03-28T19:10:24Z,"glamrock,artrock","Parlophone UK",0.475,0.934,7,-7.579,1,0.0367,0.0000897,0.00994,0.0587,0.771,129.006,4
spotify:track:0iKRf868w4SYEBDILQu8ob,"Aladdin Sane - 2013 Remaster","Aladdin Sane (2013 Remaster)","David Bowie",1973-04-13,310426,50,false,meikeenlotte,2026-03-28T19:10:24Z,"glamrock,artrock","Parlophone UK",0.42,0.713,2,-10.286,1,0.0409,0.209,0.000586,0.12,0.555,117.853,4
spotify:track:1cSrZX0EdEpbI8t9rG43Cl,"Drive-In Saturday - 2013 Remaster","Aladdin Sane (2013 Remaster)","David Bowie",1973-04-13,272600,51,false,meikeenlotte,2026-03-28T19:10:24Z,"glamrock,artrock","Parlophone UK",0.302,0.56,7,-9.528,1,0.037,0.348,0,0.0674,0.43,201.015,3
spotify:track:39H1xVrwxDjeIzq4WMYIod,"Panic in Detroit - 2013 Remaster","Aladdin Sane (2013 Remaster)","David Bowie",1973-04-13,268646,46,false,meikeenlotte,2026-03-28T19:10:24Z,"glamrock,artrock","Parlophone UK",0.426,0.798,11,-9.3,0,0.0399,0.00622,0.00112,0.0981,0.767,93.655,4
spotify:track:0V0oDdGkkCTLodcuiwQLXm,"Cracked Actor - 2013 Remaster","Aladdin Sane (2013 Remaster)","David Bowie",1973-04-13,181536,47,false,meikeenlotte,2026-03-28T19:10:24Z,"glamrock,artrock","Parlophone UK",0.436,0.878,11,-7.713,0,0.0893,0.000295,0.00000624,0.0807,0.598,126.12,4
spotify:track:1aBgL67Czpgnm87kbrQuzo,"Time - 2013 Remaster","Aladdin Sane (2013 Remaster)","David Bowie",1973-04-13,315855,45,false,meikeenlotte,2026-03-28T19:10:24Z,"glamrock,artrock","Parlophone UK",0.33,0.651,0,-8.731,1,0.0398,0.192,0.00000268,0.105,0.37,145.178,4
spotify:track:2tjskutXjrrfAyoSw4q4kb,"The Prettiest Star - 2013 Remaster","Aladdin Sane (2013 Remaster)","David Bowie",1973-04-13,211684,51,false,meikeenlotte,2026-03-28T19:10:24Z,"glamrock,artrock","Parlophone UK",0.566,0.559,5,-8.165,1,0.0334,0.215,0.00227,0.324,0.606,118.276,4
spotify:track:0Mxo6w8hWMwDN2C0eygceO,"Let's Spend the Night Together - 2013 Remaster","Aladdin Sane (2013 Remaster)","David Bowie",1973-04-13,190751,42,false,meikeenlotte,2026-03-28T19:10:24Z,"glamrock,artrock","Parlophone UK",0.442,0.881,9,-8.917,1,0.0429,0.0152,0.000271,0.0514,0.93,163.875,4
spotify:track:6uZtMNTfU5u8w6fsnXeOdb,"The Jean Genie - 2013 Remaster","Aladdin Sane (2013 Remaster)","David Bowie",1973-04-13,248013,58,false,meikeenlotte,2026-03-28T19:10:24Z,"glamrock,artrock","Parlophone UK",0.58,0.571,9,-9.116,1,0.0321,0.378,0.00000513,0.358,0.818,128.15,4
spotify:track:3ZFurUI2qESabUHHyIlxa8,"Lady Grinning Soul - 2013 Remaster","Aladdin Sane (2013 Remaster)","David Bowie",1973-04-13,235255,58,false,meikeenlotte,2026-03-28T19:10:24Z,"glamrock,artrock","Parlophone UK",0.373,0.56,4,-8.419,1,0.0394,0.0326,0.000166,0.0795,0.167,93.208,4
