TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.023219955,-3840.62,-1.7053e-13,7.10543e-14,-9.9476e-14,2.13163e-13,-2.41585e-13,2.70006e-13,-1.27898e-13,1.42109e-13,-7.53175e-13,1.27898e-13,6.96332e-13,2.84217e-14,-4.40536e-13,3.2685e-13,-6.25278e-13,1.42109e-13,-2.55795e-13,-6.96332e-13,1.98952e-13,-2.28795e-12
0.046439909,-449.315,-5.44258,9.53493,9.34072,7.02741,9.27789,7.52001,1.54403,-1.41603,-2.21403,-2.51967,0.226508,0.985712,-2.45151,-2.17754,4.12934,0.327267,-0.981561,-1.62789,-1.51786,-2.5739
0.069659864,-322.11,40.5342,15.6423,11.5712,4.92526,3.97796,1.63211,-0.77074,-0.90136,-2.215,-2.29813,-3.76965,-2.94256,0.165013,-2.29223,-3.07586,-2.42621,-2.84474,-1.26705,-0.597667,-0.285513
0.092879819,-251.707,23.4345,-4.15338,12.9781,0.18245,11.4465,-3.1971,-1.15064,-6.15449,-1.34923,-1.60848,-0.0644554,3.83002,-3.5021,-3.4374,2.12277,-0.134398,-1.58127,1.28299,-1.60714,-0.844678
0.116099773,-224.732,31.3318,-16.6393,3.85213,-6.17151,4.36675,-6.00953,-0.799948,-5.78953,-4.40201,-4.12218,-0.967579,-0.559163,0.373196,-0.128235,2.38085,0.88708,-0.68309,-1.16441,-0.00987974,0.46471
0.139319728,-228.706,38.1284,-13.5376,8.67148,-0.455664,5.17826,-1.17231,0.381396,-4.61298,-3.99642,-2.68991,-2.24223,-0.99468,1.00816,-0.207587,3.48344,2.16035,-1.30525,-0.255659,1.17534,2.83028
0.162539683,-236.581,40.2174,-15.4649,8.99564,0.203689,5.76584,-2.13345,-0.118451,-3.93936,-3.43948,-3.12038,-4.37848,-0.706404,0.517313,-0.532193,2.42321,1.61818,0.405296,-0.0818213,1.96237,2.34048
0.185759637,-243.727,39.051,-14.9316,9.24261,-2.42405,2.84541,-1.76378,-0.00412004,-3.04474,-5.38986,-4.06972,-4.06416,-0.277738,-1.09715,-0.512831,1.49499,2.32014,0.363809,-1.32019,1.71517,2.20049
0.208979592,-250.374,39.1627,-16.2421,8.05389,-2.44857,3.17712,-1.26443,-3.25564,-4.93184,-7.09556,-3.11687,-4.23741,-0.593857,-1.62435,-1.7886,-0.266613,0.0164942,-1.48869,-1.19329,-0.406319,0.359779
0.232199546,-252.774,40.9468,-14.3582,6.15242,-1.99372,4.07524,-1.04567,-3.53005,-1.16854,-4.1385,-4.05197,-5.49861,-0.59841,0.490857,0.335017,0.332007,0.52513,-0.758927,-0.70292,0.851971,0.366673
0.255419501,-252.814,41.3271,-16.9515,5.77674,-2.29211,4.66171,-0.0390922,-2.79549,-1.94162,-4.76773,-5.17987,-5.00117,-1.93014,-0.901322,1.19716,1.2199,-0.306988,-1.16446,-1.81373,-0.573141,-0.350725
0.278639456,-256.202,42.63,-15.1961,7.35346,-0.895882,4.54197,2.14599,-1.11032,-0.0534937,-5.30382,-4.48896,-2.59759,-0.475646,0.152539,1.34573,1.79113,-0.415018,0.764725,-0.0519015,0.757257,0.914571
0.301859410,-264.551,43.5622,-13.3044,7.04452,-2.24628,3.04508,2.20394,-1.17058,-2.12638,-5.07951,-2.71223,-3.01256,-1.8653,-1.96323,0.119566,2.40309,1.0098,0.252052,1.67926,1.77226,0.350711
0.325079365,-261.187,44.3247,-14.1791,5.0909,1.28178,5.16898,1.96061,-2.43049,-0.604203,-3.76474,-3.78736,-2.8203,-0.85396,-0.0603294,0.783539,1.50942,0.304723,0.389764,0.824183,1.96489,0.495831
0.348299320,-261.962,44.4524,-13.964,4.80154,-0.398449,2.66583,1.1644,-3.68675,-0.851002,-2.46706,-3.51787,-2.42859,-1.6481,-0.581457,-0.223003,1.90478,0.532846,0.172677,0.307738,2.52643,0.19242
0.371519274,-264.839,44.4767,-13.8901,3.908,-0.43617,1.64283,0.350567,-2.60972,-0.256061,-1.0851,-1.26033,-1.60233,-0.187475,0.0649187,1.5724,1.9306,3.23382,1.88417,0.131391,0.634207,0.841446
0.394739229,-263.22,44.3132,-16.0495,1.91514,-1.98637,-0.0447932,-1.00301,-1.72897,0.319712,-2.12436,-2.20428,0.816708,1.02464,1.77567,2.14443,3.53336,2.35363,2.59327,-0.00358885,1.7259,1.86107
0.417959184,-266.722,44.4453,-14.4582,0.534408,-3.58799,0.348614,-0.443133,-2.97905,-1.377,-1.42707,-2.47751,-0.74838,2.55359,3.60133,3.08862,3.12549,2.37234,2.79563,1.76218,2.12042,2.07426
0.441179138,-262.958,43.5557,-15.2902,6.33641,-1.89776,0.185468,-1.15878,-2.9303,0.636259,-0.983511,-2.05103,-1.34254,0.0831354,0.476265,2.17261,3.83264,1.55131,-1.12212,1.29069,1.3707,-0.186425
0.464399093,-265.075,42.8714,-15.4904,5.20369,0.0120656,-0.47733,-1.21362,-2.38082,-1.71528,-2.26669,-1.99635,-2.95454,-0.542172,2.18825,1.31485,1.17943,0.448487,-0.273312,0.250484,1.46881,-1.17248
0.487619048,-269.197,42.7757,-14.3271,3.75505,0.736905,0.284971,-0.440438,-3.2345,-2.92369,-1.73268,-1.9612,-1.78095,-0.372371,1.21804,0.131778,0.735472,1.69312,0.0138657,0.318389,0.524265,-0.393035
0.510839002,-270.538,41.972,-15.6702,2.59562,0.918475,1.15325,0.117461,-2.67057,-1.47747,-4.22421,-2.87726,-4.82595,-2.42514,1.91514,0.741242,1.74895,0.390534,0.727647,1.10847,0.0100273,-0.096585
0.534058957,-272.241,43.4824,-14.6803,2.82937,0.208963,0.918638,1.53244,-2.45253,-1.62434,-4.95827,-4.33134,-4.05026,-3.46271,0.829048,0.55227,2.10117,0.697822,0.431956,0.48827,-0.629464,0.255225
0.557278912,-272.987,44.9374,-13.852,3.72874,-0.771325,-2.85448,2.18337,-1.58572,-2.16047,-4.10166,-3.52827,-5.66271,-3.35003,0.0887973,0.0637714,0.537621,0.618094,-0.46279,-0.297755,-1.03117,0.72387
0.580498866,-272.685,44.8068,-14.1593,1.42607,-1.4185,-1.8664,-1.21775,-2.28529,-1.63764,-3.24723,-2.87401,-3.47516,-2.16424,-0.16106,0.201864,1.1205,1.88452,0.341421,-0.398087,-0.426369,1.02385
0.603718821,-273.474,46.0615,-12.7205,1.68291,0.064275,-1.81028,0.603427,-1.73613,-1.61718,-0.365998,-1.88249,-2.68276,-2.65474,0.969347,0.806278,1.11083,1.88509,-0.244819,-0.200008,0.510223,-0.0140448
0.626938776,-276.359,45.8888,-12.8959,1.43972,1.37072,-2.64089,-0.937333,-1.83209,-0.17101,-1.6992,-1.39384,-3.32432,-3.71369,0.402486,1.16666,1.60094,0.651284,0.0568127,-0.496349,0.142583,1.8083
0.650158730,-278.759,45.6191,-11.7945,1.0012,2.07218,-1.35282,-0.187283,-2.82505,-1.25724,-1.61033,-1.04621,-3.37009,-1.80982,1.1876,0.114777,0.324291,0.150835,0.614765,1.35216,1.55607,1.21295
0.673378685,-277.934,45.6719,-13.1653,0.979468,2.78417,-2.24148,-0.786182,-0.718389,0.408976,-1.3677,-2.43357,-3.09103,-0.873924,1.37023,0.775899,-0.492193,1.17353,1.25982,0.809499,0.506005,0.453199
0.696598639,-279.506,47.0572,-12.5642,-0.407582,2.13138,-3.18898,-0.454685,-0.465377,0.646475,-0.270636,-3.36589,-1.84442,-2.23522,2.15086,1.29185,-0.0030979,-0.252855,0.230547,0.650355,0.833426,0.818123
