TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.148028,0.825145,0.100105,0.280331,1.55999,1.02326,0.0719156,1.11249,0.181483,2.77271,0.282093,0.12956
0.046439909,0.155544,1.00084,0,0.0304036,1.75485,1.09775,0.0881728,0.958502,0.325244,3.14043,0.146027,0.113405
0.092879819,0.130491,1.06055,0,0.0311758,1.84316,0.847986,0.0784231,0.82487,0.159166,3.39123,0.0590596,0.0441431
0.139319728,0.10836,1.25744,0,0.0340701,1.91863,0.542642,0.0307062,0.666076,0.0988927,3.56391,0.0550238,0.00725019
0.185759637,0.0508478,1.70447,0.000269373,0.0336506,1.9235,0.287253,0.00751641,0.481351,0.0975894,3.5791,0.0542015,0
0.232199546,0.0132797,2.04241,0.0050962,0.0340239,1.86624,0.119321,0.00396439,0.308013,0.0955729,3.78255,0.0421481,0.00719998
0.278639456,0,2.08347,0.0591799,0.0366242,1.75569,0.141291,0.00272026,0.239415,0.0808613,3.93268,0.030494,0.102192
0.325079365,3.46027e-05,1.93082,0.136902,0.045721,1.73802,0.21041,0.00658334,0.199371,0.0269682,3.92825,0.0316964,0.0323803
0.371519274,2.07834e-05,2.00653,0.157483,0.0428034,1.61139,0.171732,0.0171388,0.217046,0,3.89013,0.0419676,0.00923041
0.417959184,0.00953089,1.95607,0.16598,0.0599289,1.51613,0.138478,0.0627149,0.251599,0,3.87308,0.0556208,0
0.464399093,0.111301,1.90498,0.148549,0.161944,1.36768,0.119273,0.0454509,0.211162,0,3.79368,0.0642698,0
0.510839002,0.0847216,1.98214,0.153866,0.176636,1.33969,0.109432,0.0230447,0.237732,0,3.72036,0.0569934,0
0.557278912,0.000526435,2.19755,0.149948,0.164545,1.21537,0.117528,0.0193519,0.275367,0.0182987,3.65558,0.0911993,0
0.603718821,0.000598852,2.35977,0.153084,0.169248,1.09073,0.113128,0.0161798,0.27163,0.0259114,3.71558,0.08683,0
0.650158730,0.000473854,2.2869,0.244078,0.16161,1.03908,0.111783,0.193792,0.277213,0.0312247,3.75425,0.0608028,0
0.696598639,0.000306379,2.05813,0.28894,0.125977,1.25001,0.127671,0.276037,0.264025,0.0282033,3.79475,0.0594959,0
0.743038549,0,1.93002,0.369673,0.158026,1.47644,0.14857,0.213986,0.224498,0,3.70228,0.0591401,0
0.789478458,0,2.0308,0.285886,0.065062,1.52101,0.0894869,0.138456,0.249284,0,3.70307,0.114076,0
0.835918367,0,2.23622,0.231093,0.0295636,1.53069,0.0899145,0.0056593,0.270947,0.000276985,3.53728,0.141362,0
0.882358277,0,2.33292,0.162472,0.0557465,1.54528,0.121768,0.00402092,0.287665,2.55886e-05,3.40674,0.117204,0
0.928798186,0,2.23477,0.163372,0.10091,1.58798,0.154101,0.00382486,0.280863,0.0199402,3.4589,0.0481909,0
0.975238095,0,2.18591,0.192416,0.0807523,1.56045,0.154146,0.0028088,0.32082,0.0471204,3.61766,0.0092429,0
