Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7sfzf3LlJRgeKQK0vdOrJE,"Future Legend - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,60453,44,false,meikeenlotte,2026-03-28T19:10:35Z,"glamrock,artrock","Parlophone UK",0.265,0.378,7,-18.603,1,0.0571,0.687,0,0.657,0.529,121.878,3
spotify:track:7Lk0PQDl3jtOr0UoZmQPhs,"Diamond Dogs - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,364240,48,false,meikeenlotte,2026-03-28T19:10:35Z,"glamrock,artrock","Parlophone UK",0.54,0.723,1,-14.887,0,0.0414,0.13,0.00000652,0.601,0.429,122.027,4
spotify:track:4gBRHnW9xeNABYDR2zV8Jj,"Sweet Thing - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,219120,42,false,meikeenlotte,2026-03-28T19:10:35Z,"glamrock,artrock","Parlophone UK",0.358,0.399,7,-15.799,1,0.0383,0.718,0.000689,0.438,0.287,119.922,4
spotify:track:66an4cYaszN1PNdCWV8aOm,"Candidate - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,160880,38,false,meikeenlotte,2026-03-28T19:10:35Z,"glamrock,artrock","Parlophone UK",0.368,0.734,9,-12.621,0,0.0844,0.803,0,0.831,0.526,129.308,4
spotify:track:7IIBAaeduv0ChewTIUZjZo,"Sweet Thing - Reprise; 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,152640,37,false,meikeenlotte,2026-03-28T19:10:35Z,"glamrock,artrock","Parlophone UK",0.295,0.476,0,-15.341,1,0.107,0.643,0.0025,0.751,0.461,122.707,4
spotify:track:2EC9IJj7g0mN1Q5VrZkiYY,"Rebel Rebel - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,274746,71,false,meikeenlotte,2026-03-28T19:10:35Z,"glamrock,artrock","Parlophone UK",0.635,0.686,9,-15.648,1,0.053,0.209,0.0176,0.282,0.464,125.988,4
spotify:track:0VLd3BXsGTXDzg5oVfpmr8,"Rock 'n' Roll with Me - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,242906,42,false,meikeenlotte,2026-03-28T19:10:35Z,"glamrock,artrock","Parlophone UK",0.391,0.474,0,-13.518,1,0.0301,0.405,0,0.0738,0.443,76.22,4
spotify:track:20jwmVY9TLNj9Yl8VbKuCh,"We Are the Dead - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,301773,40,false,meikeenlotte,2026-03-28T19:10:35Z,"glamrock,artrock","Parlophone UK",0.373,0.279,5,-16.957,1,0.0413,0.76,0.00000151,0.103,0.287,138.547,4
spotify:track:1VsoNmgANye8Z4qf3XhT3k,"1984 - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,207400,41,false,meikeenlotte,2026-03-28T19:10:35Z,"glamrock,artrock","Parlophone UK",0.468,0.637,2,-13.742,0,0.112,0.624,0,0.148,0.554,117.203,4
spotify:track:7pyD032027SPw5Sc0xhfrI,"Big Brother - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,203080,39,false,meikeenlotte,2026-03-28T19:10:35Z,"glamrock,artrock","Parlophone UK",0.218,0.463,11,-13.108,0,0.0392,0.543,0.0000478,0.61,0.349,180.138,4
spotify:track:1ihKji1UdshwukWYh3cQK2,"Chant of the Ever Circling Skeletal Family - 2016 Remaster","Diamond Dogs (2016 Remaster)","David Bowie",1974-05-24,126066,35,false,meikeenlotte,2026-03-28T19:10:35Z,"glamrock,artrock","Parlophone UK",0.489,0.553,9,-14.513,1,0.281,0.0435,0.0000632,0.388,0.402,139.345,3
