Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:56von762XlyEtT3qQhm47H,"Beauty and the Beast - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,216640,46,false,meikeenlotte,2026-03-28T19:10:43Z,"glamrock,artrock","Parlophone UK",0.551,0.907,4,-6.75,0,0.0616,0.00203,0.108,0.0358,0.752,124.397,4
spotify:track:1HLbeCJcoW6Bo9xNgWXlSO,"Joe the Lion - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,188133,42,false,meikeenlotte,2026-03-28T19:10:43Z,"glamrock,artrock","Parlophone UK",0.492,0.945,3,-4.968,0,0.126,0.0233,0.181,0.133,0.66,121.607,4
spotify:track:7Jh1bpe76CNTCgdgAdBw4Z,"""Heroes"" - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,371413,82,false,meikeenlotte,2026-03-28T19:10:43Z,"glamrock,artrock","Parlophone UK",0.489,0.758,7,-6.491,1,0.0297,0.000678,0.49,0.092,0.435,112.113,4
spotify:track:3O85NMbjKkbcCi44UAwOx4,"Sons of the Silent Age - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,200306,43,false,meikeenlotte,2026-03-28T19:10:43Z,"glamrock,artrock","Parlophone UK",0.388,0.646,10,-6.504,1,0.0329,0.0945,0.00112,0.0947,0.157,111.222,4
spotify:track:5p3dakY9xb0ArzIHUBshm6,"Blackout - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,229920,42,false,meikeenlotte,2026-03-28T19:10:43Z,"glamrock,artrock","Parlophone UK",0.533,0.911,7,-5.742,1,0.0996,0.00353,0.00336,0.0828,0.782,121.913,4
spotify:track:6PRZIYPOPMt5y8wGofp44d,"V-2 Schneider - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,191426,43,false,meikeenlotte,2026-03-28T19:10:43Z,"glamrock,artrock","Parlophone UK",0.452,0.826,0,-7.144,1,0.0465,0.00581,0.963,0.389,0.207,123.182,4
spotify:track:1d89lSLqTpMMpcKBWzVWcm,"Sense of Doubt - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,239600,41,false,meikeenlotte,2026-03-28T19:10:43Z,"glamrock,artrock","Parlophone UK",0.1,0.315,4,-19.137,0,0.0425,0.579,0.933,0.144,0.0366,88.114,5
spotify:track:2hBsekQsE7bxL4lNGpG1tL,"Moss Garden - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,305866,41,false,meikeenlotte,2026-03-28T19:10:43Z,"glamrock,artrock","Parlophone UK",0.163,0.195,1,-18.134,1,0.0359,0.386,0.891,0.158,0.18,77.685,4
spotify:track:5ZOitdISR9foFR6QrcZFCa,"Neuköln - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,274560,38,false,meikeenlotte,2026-03-28T19:10:43Z,"glamrock,artrock","Parlophone UK",0.163,0.338,10,-14.569,1,0.0429,0.889,0.864,0.197,0.0392,75.753,4
spotify:track:4F1V29ygbAKbKCQDgt4z9f,"The Secret Life of Arabia - 2017 Remaster","""Heroes"" (2017 Remaster)","David Bowie",1977,226906,41,false,meikeenlotte,2026-03-28T19:10:43Z,"glamrock,artrock","Parlophone UK",0.553,0.877,2,-7.752,0,0.0474,0.00994,0.00751,0.111,0.912,104.752,4
